ID,Class Name,BlockState Properties,BlockState Class Name
actuallyadditions:block_atomic_reconstructor,de.ellpeck.actuallyadditions.mod.blocks.BlockAtomicReconstructor,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_battery_box,de.ellpeck.actuallyadditions.mod.blocks.BlockBatteryBox,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_bio_reactor,de.ellpeck.actuallyadditions.mod.blocks.BlockBioReactor,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_black_lotus,de.ellpeck.actuallyadditions.mod.blocks.BlockBlackLotus,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_breaker,de.ellpeck.actuallyadditions.mod.blocks.BlockBreaker,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_canola,de.ellpeck.actuallyadditions.mod.blocks.base.BlockPlant,"[PropertyInteger{name=age, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_canola_oil,de.ellpeck.actuallyadditions.mod.blocks.base.BlockFluidFlowing,"[PropertyInteger{name=level, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}]",net.minecraftforge.common.property.ExtendedBlockState
actuallyadditions:block_canola_press,de.ellpeck.actuallyadditions.mod.blocks.BlockCanolaPress,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_chiseled_quartz_slab,de.ellpeck.actuallyadditions.mod.blocks.BlockSlabs,"[PropertyEnum{name=half, clazz=class net.minecraft.block.BlockSlab$EnumBlockHalf, values=[top, bottom]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_chiseled_quartz_stair,de.ellpeck.actuallyadditions.mod.blocks.base.BlockStair,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}, PropertyEnum{name=half, clazz=class net.minecraft.block.BlockStairs$EnumHalf, values=[top, bottom]}, PropertyEnum{name=shape, clazz=class net.minecraft.block.BlockStairs$EnumShape, values=[straight, inner_left, inner_right, outer_left, outer_right]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_chiseled_quartz_wall,de.ellpeck.actuallyadditions.mod.blocks.BlockWallAA,"[PropertyBool{name=east, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=north, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=south, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=up, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=west, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_coal_generator,de.ellpeck.actuallyadditions.mod.blocks.BlockCoalGenerator,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_coffee,de.ellpeck.actuallyadditions.mod.blocks.base.BlockPlant,"[PropertyInteger{name=age, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_coffee_machine,de.ellpeck.actuallyadditions.mod.blocks.BlockCoffeeMachine,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_colored_lamp,de.ellpeck.actuallyadditions.mod.blocks.BlockColoredLamp,"[PropertyEnum{name=type, clazz=class de.ellpeck.actuallyadditions.mod.blocks.metalists.TheColoredLampColors, values=[WHITE, ORANGE, MAGENTA, LIGHT_BLUE, YELLOW, LIME, PINK, GRAY, LIGHT_GRAY, CYAN, PURPLE, BLUE, BROWN, GREEN, RED, BLACK]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_colored_lamp_on,de.ellpeck.actuallyadditions.mod.blocks.BlockColoredLamp,"[PropertyEnum{name=type, clazz=class de.ellpeck.actuallyadditions.mod.blocks.metalists.TheColoredLampColors, values=[WHITE, ORANGE, MAGENTA, LIGHT_BLUE, YELLOW, LIME, PINK, GRAY, LIGHT_GRAY, CYAN, PURPLE, BLUE, BROWN, GREEN, RED, BLACK]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_compost,de.ellpeck.actuallyadditions.mod.blocks.BlockCompost,[],net.minecraftforge.common.property.ExtendedBlockState
actuallyadditions:block_crystal,de.ellpeck.actuallyadditions.mod.blocks.BlockCrystal,"[PropertyEnum{name=type, clazz=class de.ellpeck.actuallyadditions.mod.items.metalists.TheCrystals, values=[REDSTONE, LAPIS, DIAMOND, COAL, EMERALD, IRON]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_crystal_cluster_coal,de.ellpeck.actuallyadditions.mod.blocks.BlockCrystalCluster,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
