ID,Group,Input Pattern,Input Ingredients,Output Item,Width,Height
tesslocator:advanced_tesslocator_color,,,,,1,3
actuallyadditions:recipes109,actuallyadditions:recipes110,"ABA
BCB
ABA","A: ore:ingotIron
B: ore:dustRedstone
C: actuallyadditions:block_misc:9",actuallyadditions:block_atomic_reconstructor,3,3
actuallyadditions:recipes144,actuallyadditions:recipes145,"ABA
ACA
ABA","A: actuallyadditions:item_crystal_empowered:5
B: actuallyadditions:block_misc:9
C: minecraft:sapling:*",actuallyadditions:block_bio_reactor,3,3
actuallyadditions:recipes165,actuallyadditions:recipes166,"AAA
ABC
AAA","A: ore:cobblestone
B: actuallyadditions:item_misc:7
C: actuallyadditions:item_crystal:3",actuallyadditions:block_breaker,3,3
actuallyadditions:recipes132,actuallyadditions:recipes133,"ABA
ACA
ADA","A: ore:cobblestone
B: actuallyadditions:item_crystal:5
C: actuallyadditions:item_misc:13
D: actuallyadditions:item_misc:8",actuallyadditions:block_canola_press,3,3
actuallyadditions:recipes101,actuallyadditions:recipes102,AAA,A: actuallyadditions:block_misc:1,actuallyadditions:block_chiseled_quartz_slab x6,3,1
actuallyadditions:recipes102,actuallyadditions:recipes103,"A--
AA-
AAA",A: actuallyadditions:block_misc:1,actuallyadditions:block_chiseled_quartz_stair x6,3,3
actuallyadditions:recipes100,actuallyadditions:recipes101,"AAA
AAA",A: actuallyadditions:block_misc:1,actuallyadditions:block_chiseled_quartz_wall x6,3,2
actuallyadditions:recipes145,actuallyadditions:recipes146,"ABA
ACA
ABA","A: ore:cobblestone
B: minecraft:coal:*
C: actuallyadditions:block_misc:9",actuallyadditions:block_coal_generator,3,3
actuallyadditions:recipes127,actuallyadditions:recipes128,"-A-
-B-
CDC","A: ore:cropCoffee
B: actuallyadditions:block_misc:9
C: actuallyadditions:item_misc:7
D: actuallyadditions:item_crystal:3",actuallyadditions:block_coffee_machine,3,3
actuallyadditions:recipes167,actuallyadditions:recipes168,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeWhite
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp x6,3,3
actuallyadditions:recipes168,actuallyadditions:recipes169,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeOrange
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:1 x6,3,3
actuallyadditions:recipes177,actuallyadditions:recipes178,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyePurple
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:10 x6,3,3
actuallyadditions:recipes178,actuallyadditions:recipes179,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeBlue
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:11 x6,3,3
actuallyadditions:recipes179,actuallyadditions:recipes180,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeBrown
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:12 x6,3,3
actuallyadditions:recipes180,actuallyadditions:recipes181,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeGreen
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:13 x6,3,3
actuallyadditions:recipes181,actuallyadditions:recipes182,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeRed
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:14 x6,3,3
actuallyadditions:recipes182,actuallyadditions:recipes183,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeBlack
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:15 x6,3,3
actuallyadditions:recipes169,actuallyadditions:recipes170,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeMagenta
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:2 x6,3,3
actuallyadditions:recipes170,actuallyadditions:recipes171,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeLightBlue
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:3 x6,3,3
actuallyadditions:recipes171,actuallyadditions:recipes172,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeYellow
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:4 x6,3,3
actuallyadditions:recipes172,actuallyadditions:recipes173,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeLime
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:5 x6,3,3
actuallyadditions:recipes173,actuallyadditions:recipes174,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyePink
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:6 x6,3,3
actuallyadditions:recipes174,actuallyadditions:recipes175,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeGray
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:7 x6,3,3
actuallyadditions:recipes175,actuallyadditions:recipes176,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeLightGray
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:8 x6,3,3
actuallyadditions:recipes176,actuallyadditions:recipes177,"ABA
CDC
ABA","A: ore:glowstone
B: actuallyadditions:item_crystal:1
C: ore:dyeCyan
D: ore:gemQuartzBlack",actuallyadditions:block_colored_lamp:9 x6,3,3
actuallyadditions:recipes119,actuallyadditions:recipes120,"A-A
A-A
ABA","A: ore:plankWood
B: actuallyadditions:block_misc:4",actuallyadditions:block_compost,3,3
actuallyadditions:recipes184,actuallyadditions:recipes185,"AAA
AAA
AAA",A: actuallyadditions:item_crystal,actuallyadditions:block_crystal,3,3
actuallyadditions:recipes190,actuallyadditions:recipes191,"AAA
AAA
AAA",A: actuallyadditions:item_crystal:1,actuallyadditions:block_crystal:1,3,3
actuallyadditions:recipes196,actuallyadditions:recipes197,"AAA
AAA
AAA",A: actuallyadditions:item_crystal:2,actuallyadditions:block_crystal:2,3,3
actuallyadditions:recipes202,actuallyadditions:recipes203,"AAA
AAA
AAA",A: actuallyadditions:item_crystal:3,actuallyadditions:block_crystal:3,3,3
actuallyadditions:recipes208,actuallyadditions:recipes209,"AAA
AAA
AAA",A: actuallyadditions:item_crystal:4,actuallyadditions:block_crystal:4,3,3
actuallyadditions:recipes214,actuallyadditions:recipes215,"AAA
AAA
AAA",A: actuallyadditions:item_crystal:5,actuallyadditions:block_crystal:5,3,3
actuallyadditions:recipes186,actuallyadditions:recipes187,"AAA
AAA
AAA",A: actuallyadditions:item_crystal_empowered,actuallyadditions:block_crystal_empowered,3,3
actuallyadditions:recipes192,actuallyadditions:recipes193,"AAA
AAA
AAA",A: actuallyadditions:item_crystal_empowered:1,actuallyadditions:block_crystal_empowered:1,3,3
