ID,Group,Input Ingredients,Output Item
minecraft:armordye,,,
minecraft:bookcloning,,,
minecraft:mapcloning,,,
minecraft:fireworks,,,
minecraft:repairitem,,,
minecraft:tippedarrow,,,
minecraft:bannerduplicate,,,
minecraft:banneraddpattern,,,
minecraft:shielddecoration,,,
minecraft:shulkerboxcoloring,,,
biomesoplenty:biome_essence,,,
computercraft:colour,,,
immersiveengineering:tool/wirecutter_repair,,,
immersiveengineering:tool/hammer_repair,,,
ironchest:shulker/shulker_box_coloring,,,
topaddons:helmet_unprobing,,,
topaddons:helmet_probing,,,
appliedenergistics2:disassemble,,,
appliedenergistics2:facade,,,
enderio:clear-config,,,
enderio:copy-filter,,,
enderio:dark_shield_recipes,,,
tconstruct:repair,,,
quark:map_pinning,,,
quark:slabs_to_stairs,,,
quark:stairs_to_blocks,,,
botania:ancient_will_attach,,,
botania:black_hole_talisman_extract,,,
botania:cleanse_enchants,,,
botania:composite_lens,,,
botania:cosmetic_attach,,,
botania:cosmetic_remove,,,
botania:keep_ivy_attach,,,
botania:lens_dye,,,
botania:mana_gun_add_lens,,,
botania:mana_gun_remove_lens,,,
botania:mana_gun_add_clip,,,
botania:phantom_ink,,,
botania:terra_pick_tipping,,,
botania:floating_,,,
botania:floating_puredaisy,,,
botania:floating_manastar,,,
botania:floating_hydroangeas,,,
botania:floating_endoflame,,,
botania:floating_thermalily,,,
botania:floating_arcanerose,,,
botania:floating_munchdew,,,
botania:floating_entropinnyum,,,
botania:floating_kekimurus,,,
botania:floating_gourmaryllis,,,
botania:floating_narslimmus,,,
botania:floating_spectrolus,,,
botania:floating_dandelifeon,,,
botania:floating_rafflowsia,,,
botania:floating_shulk_me_not,,,
botania:floating_bellethorn,,,
botania:floating_bellethornchibi,,,
botania:floating_dreadthorn,,,
botania:floating_heiseidream,,,
botania:floating_tigerseye,,,
botania:floating_jadedamaranthus,,,
botania:floating_orechid,,,
botania:floating_orechidignem,,,
botania:floating_fallenkanade,,,
botania:floating_exoflame,,,
botania:floating_agricarnation,,,
botania:floating_agricarnationchibi,,,
botania:floating_hopperhock,,,
botania:floating_hopperhockchibi,,,
botania:floating_tangleberrie,,,
botania:floating_jiyuulia,,,
botania:floating_rannuncarpus,,,
botania:floating_rannuncarpuschibi,,,
botania:floating_hyacidus,,,
botania:floating_pollidisiac,,,
botania:floating_clayconia,,,
botania:floating_clayconiachibi,,,
botania:floating_loonium,,,
botania:floating_daffomill,,,
botania:floating_vinculotus,,,
botania:floating_spectranthemum,,,
botania:floating_medumone,,,
botania:floating_marimorphosis,,,
botania:floating_marimorphosischibi,,,
botania:floating_bubbell,,,
botania:floating_bubbellchibi,,,
botania:floating_solegnolia,,,
botania:floating_solegnoliachibi,,,
botania:floating_bergamute,,,
immersiveengineering:banners,,,
immersiveengineering:revolver_loop,,,
immersiveengineering:jerrycan,,,
immersiveengineering:stripcurtain_colour,,,
openblocks:crayon_merge,openblocks:crayons,,
openblocks:crayon_mix,openblocks:crayons,,
openblocks:map_clone,openblocks:maps,,
